ID,Year,State,Bill,Legislature,Sponsor,Summary,Status,Law,Assessment,Theme,Thematic_analysis,Governor,Governor_party,Governor_gender,Population_2017,Legislative_majority,
1,2017,AR,AR [R] HB 1043Â - Updated (Status 01/11/2017),H,Rep. Karilyn Brown (REP-AR),TO MODIFY THE IMMUNIZATION AND VACCINE REQUIREMENTS FOR STUDENTS IN ELEMENTARY AND SECONDARY EDUCATION; AND TO REMOVE IMMUNIZATION EXEMPTIONS FOR RELIGIOUS AND PHILOSOPHICAL BELIEFS.,WITHDRAWN BY AUTHOR - 01/11/2017,No,Pro,Remove religious/philosophical,Removing exemptions or adding requirements,Asa Hutchinson,R,M,3004279,R,
2,2017,AZ,AZ [R] HB 2510Â - Updated (Status 05/03/2017),H,Rep. Jill Norgaard (REP-AZ),schools; immunization records; retention,COMMITTEES: ED 0-0-0-0 HELD - 03/23/2017,No,Neutral,Record keeping,"Data collection, reporting, or clarification",Doug Ducey,R,M,7016270,R,
3,2017,CO,CO [R] SB 250Â - Updated (Status 04/20/2017),S,Tim Neville,Student Exemption From Immunization Requirements,Senate Second Reading Lost with Amendments - Floor - 04/19/2017,No,Neutral,Clarificatio re: specific form,"Data collection, reporting, or clarification",John Hickenlooper,D,M,5607154,S,
4,2017,CT,CT [R] HB 6971Â - Updated (New 01/26/2017),H,Rep. Liz Linehan (DEM-CT),AN ACT CONCERNING VACCINATION EDUCATION FOR PARENTS AND GUARDIANS OF CHILDREN SEEKING AN EXEMPTION FROM IMMUNIZATION REQUIREMENTS FOR RELIGIOUS REASONS.,Referred to Joint Committee on Public Health - 01/26/2017,No,Pro,Requires education by exemption,Removing exemptions or adding requirements,Dannel Malloy,D,M,3575184,S,
5,2017,CT,"CT [R] HB 7059Â - Updated (Status, Hearing 02/17/2017)",H,Committee on Children,AN ACT CONCERNING IMMUNIZATION EDUCATION.,Public Hearing 02/21 - 02/17/2017,No,Pro,Requires education by exemption,Removing exemptions or adding requirements,Dannel Malloy,D,M,3575184,S,
6,2017,CT,CT [R] SB 909Â - Updated (Status 02/24/2017),S,Education Committee,AN ACT IMPLEMENTING THE RECOMMENDATIONS OF THE OFFICE OF EARLY CHILDHOOD.,Public Hearing 03/01 - 02/24/2017,No,Anti,90 day exemption for homeless kids,Adding exemptions or removing requirements,Dannel Malloy,D,M,3575184,S,
7,2017,IA,"IA [R] HF 7Â - Updated (Status, Hearing 01/24/2017)",H,Rep. Ken Rizer (REP-IA),A bill for an act relating to an exemption from required vaccinations based upon personal conviction.,"Subcommittee: Holt, Salmon and Wessel-Kroeschell. H.J. 115. - 01/24/2017",No,Anti,Expands to include personal convication,Adding exemptions or removing requirements,Kim Reynolds,R,F,3145711,R,
8,2017,IA,IA [R] HF 261Â - Updated (New 02/09/2017),H,Rep. Mary Mascher (DEM-IA),A bill for an act relating to the elimination of the exemption from immunization of a person related to conflicts with the tenets and practices of a recognized religious denomination.,"Subcommittee: Forristall, Best and Mascher. H.J. 263. - 02/09/2017",No,Pro,Eliminiates religious exemption,Removing exemptions or adding requirements,Kim Reynolds,R,F,3145711,R,
9,2017,IA,IA [R] SF 116Â - Updated (Status 01/26/2017),S,Sen. Herman Quirmbach (DEM-IA),A bill for an act relating to the obtaining of a religious exemption from the required immunization of a person enrolling in any elementary or secondary school or a licensed child care center.,"Subcommittee: Chelgren, Chapman, and Quirmbach. S.J. 145. - 01/26/2017",No,Pro,Requires letter from church for religious exemption + member in good standing,Removing exemptions or adding requirements,Kim Reynolds,R,F,3145711,R,
10,2017,LA,LA [R] SB 133Â - Updated (Status 05/08/2017),S,Sen. Jean-Paul Morrell (DEM-LA),EDUCATION DEPARTMENT: Provides relative to immunizations required prior to enrolling in school. (gov sig),Title of substitute read and adopted; becomes Senate Bill No. 255. - 05/08/2017,No,Pro,Requires school to send notice to parent if 100% vaccination,Parental notifications of vaccination status,John Bel Edwards,D,M,4694333,R,
